'PUBL','TOTAL','TOTAL','TOTAL','TOTAL','TOTAL','MAX','MIN','AVG','STDDEV','MAX','MIN','AVG','STDDEV','MAX','MIN','AVG','STDDEV','MAX','MIN','AVG','STDDEV'
'','ISSUES','ARTICLES','LINES','TOKENS','CHARS','ARTICLES','ARTICLES','ARTICLES','ARTICLES','LINES','LINES','LINES','LINES','TOKENS','TOKENS','TOKENS','TOKENS','CHARS','CHARS','CHARS','CHARS'
'EWJ',78,7964,233935,3600621,17609392,118,93,102,0,1005,0,29.3741,94.1471,17359,0,452.1121,1449.106,83467,0,2211.1241,7104.5484
'LDR',543,89521,3690679,39229019,190900101,265,15,164,0,2204,0,41.2270,81.4075,21274,0,438.2102,868.2659,102198,0,2132.4617,4333.6205
'MRP',409,48653,2377183,20700979,98728458,193,7,118,0,2290,0,48.8599,135.8197,20752,0,425.4821,1218.0508,89674,0,2029.2368,5845.6707
'NSS',780,81794,7243191,73736454,351172086,153,28,104,0,6183,0,88.5541,169.4739,61867,0,901.4898,1744.4977,289325,0,4293.3722,8387.9498
'TEC',264,55724,1317815,27731515,100630978,884,94,211,0,1694,0,23.6490,71.6336,61686,0,497.6584,1565.4659,202563,0,1805.8822,5527.844
'TTW',174,12647,134071,2540402,10752484,134,33,72,0,237,0,10.6010,19.5479,4530,0,200.8699,410.5989,16861,0,850.2004,1733.0962
'FEWJ',13,97,1231,13712,51684,9,4,7,0,48,0,12.6907,15.0507,767,0,141.3608,209.6641,2884,0,532.8247,800.1828
'FLDR',2,26,4880,37019,161944,18,8,13,0,1608,0,187.6923,366.1226,15147,0,1423.8077,3159.591,61701,0,6228.6154,13232.1653
'CLD',461,72505,3091440,32806848,159769273,252,1,157,0,2760,0,42.6376,83.4635,84058,0,452.4770,932.6665,372159,0,2203.5621,4604.5461
'EMRP',27,1511,56074,411133,1566272,90,4,55,0,710,0,37.1105,56.2733,2493,0,272.0933,392.5505,9377,0,1036.5797,1506.1577
'FMRP',31,293,3437,26270,108771,19,4,9,0,315,0,11.7304,35.5013,2411,0,89.6587,274.7003,10121,0,371.2321,1158.1296
'SMRP',24,838,32656,319813,1442746,119,5,34,0,1449,0,38.9690,117.8742,11028,0,381.6384,1155.9173,51798,0,1721.6539,5388.6233
'SNSS',1,9,2304,24354,108048,9,9,9,0,1825,1,256.0000,571.2015,18971,8,2706.0000,5938.2685,85021,37,12005.3333,26649.2554
'NS2',596,63713,5435459,54748270,264645902,157,34,106,0,3878,0,85.3116,167.8258,39951,0,859.2951,1708.3921,196734,0,4153.7191,8329.1187
'NS3',483,51470,4579657,45877158,221637906,156,37,106,0,5085,0,88.9772,174.2712,49857,0,891.3378,1770.1218,236992,0,4306.1571,8626.4014
'NS4',207,20488,1913165,19433730,93347247,140,42,98,0,3838,0,93.3798,174.0762,39823,0,948.5421,1806.1308,197119,0,4556.1913,8719.5775
'NS5',126,12455,1163047,11872271,56442942,124,40,98,0,4198,0,93.3799,186.3115,51450,0,953.2132,1971.2953,217095,0,4531.7497,9303.8145
'NS6',11,1139,103355,1067779,5052846,156,78,103,0,2678,0,90.7419,185.6623,27802,0,937.4706,1957.4706,136922,0,4436.2125,9324.2054
'NS7',7,643,65545,670851,3179440,105,70,91,0,2679,0,101.9362,204.0124,28897,0,1043.3142,2149.7716,139074,0,4944.6967,10206.8947
'NS8',3,268,29696,295640,1436253,105,71,89,0,2682,1,110.8060,240.7148,28409,1,1103.1343,2470.6022,138081,9,5359.1530,12050.3157
'NS9',1,71,10045,101051,487444,71,71,71,0,2719,1,141.4789,398.4229,28504,2,1423.2535,4095.1031,139641,9,6865.4085,19926.5506
'FTEC',10,27,427,3181,11046,5,1,2,0,71,0,15.8148,16.159,483,0,117.8148,137.9638,1348,0,409.1111,415.0549
'TTEC',11,988,100661,5026111,14608690,138,11,89,0,9908,0,101.8836,723.9455,467793,0,5087.1569,35865.291,1379326,0,14786.1235,103609.5374
'ATTW',2,100,1068,18744,80962,73,27,50,0,95,0,10.6800,20.1737,1968,0,187.4400,387.4245,8190,0,809.6200,1661.2918
'ETTW',6,27,1733,21282,80725,5,4,4,0,379,0,64.1852,118.4421,3979,0,788.2222,1470.0476,16062,0,2989.8148,5587.3463
'FTTW',6,51,335,6583,23892,11,7,8,0,53,0,6.5686,12.8433,1852,0,129.0784,319.9059,4114,0,468.4706,1043.0049
'SCLD',2,55,5033,59107,259613,37,18,27,0,963,1,91.5091,170.4843,9564,2,1074.6727,1845.8749,39008,14,4720.2364,8069.565
'SLDR',4,434,17746,189840,854624,201,14,108,0,646,0,40.8894,77.0238,6862,0,437.4194,845.5052,32803,0,1969.1797,4064.5031
'SXLDR',1,14,648,8210,40930,14,14,14,0,520,1,46.2857,131.7446,6237,10,586.4286,1576.3504,32697,26,2923.5714,8290.2286
