Pat_surn	Pat_fore
	Ann
	Ann
	Ann
	Caroline Hans
	Charles
	Charles
	Charles
	Charles
	Charles
	Edmund
	Edmund
	Edward
	Edward
	Edward
	Edwardus
	Edwardus
	Eleanor
	Elizabeth
	Elizabeth
	Fran:
	Frances Maria Warren
	Francisca
	Franciscae
	George
	George III
	Graciae
	Guilielmus
	Gulielmus
	Helen
	Henricus
	Jaames
	James
	Janae
	Jane Frances
	Jane Frances
	Jane Frances
	Johannes
	Johes
	John
	John
	Leonardus
	Letithea
	Letithea
	Letitia
	Ludovicus
	Mary
	Nathaniel
	Oliverus
	Oliverus
	richardi
	Richardus
	Robert
	Sanuel
	Sarah Frances
	Susanna
	Susanna
	Thomas
	Thomas
	Thomas
	Thomas
	Ursula
	William
	William
	Williamus
	Willimus
  Bell	Henry
 Balliol College,Oxford.	
 Balliol College, Oxford	
 Bartlett	Richardus
 Belany	Robertus
 Bulkeley	Elizabeth Harriet
 Campbell	Charles
 Churchwardens of Drayton	
 Doughty	George
 Eaton	Alicia
 Governors	
 Governors and Assistants of the Free Gr	
 Hereford	James
 Hereford	James
 His Majesty's Justices of the Peace at	
 Hoste	Ann
 Inhabitants with the approbation of the	
 Lisle	William Berkin Meackham
 Macclesfield	George
 major part of the Trustees for the said	
 Major part of the Trustees of the said	
 majority of the Trustees	
 Majority of the Trustees of the said Pe	
 Master or keeper, and brothers and sisters of the hospital of St. Catherine the Virgin and Martyr nr the Tower of Londo	
 Master, schoolmaster, ushers, poor men	
 Mayor and Burgesses of the Borough of S	
 Mayor, Bayliffs and Commonalty of Coven	
 Norris	George
 Oxford Dean and Chaper	
 Pelly	Henry Hinde
 Proprietors of Estates in the parish or	
 Quin	Windham Henry Wyndham
 Quin	Windham Henry Wyndham
 rove	Thomas
 Trustees of the said School	
 Trustees or Feoffees acting  under a Tr	
 Vernon	George Venables
 Weatherhead	William
 Winchester Cathedral Dean and Chapter	
"and others"	
"by the Chapelwardens of the said Chapel	
"Guardianos & Communitatem Societatis Mercatorum Londini".	
"The devisees under the will of Walter Jeffrey deceased"	
"The devisees under the will of Walter Jeffrey deceased"	
'and the other surviving feofees of John	
'The inhabitants'	
'Westmonastery', Dean and Chapter	
(A majority of the)Trustees of Muker Gra	
(illegible)	Jacobus
(illegible)	Wiliamus
(Majority of )Trustees of St.Peter's Cha	
(Princess)	Mary
(Princess)	Mary
(Un-named)	
***ene	Richardus
**rbert	Matheus
**rney	Edmundus
**rnton	Jacobus
**sham	Willimus
**tton	Richard
**wood	Georgius
**ymerbe	Edwardus
*all***th	Guilielmus
*arnshaw	Ch**tr.
*d**m*	Johannes
*enners	Edvardus
*oocklesby	Richard
*osbey	Thomas
*ragge	Willimus
*rely	Sheldon
*rew	Brigitt
*rew	Thomas
*unniht	Richus
--	
--	
--	Thomas
--------	Elizabeth
---------	
...bington	
/francklin	Fairfax
/Halsted	Samuel
/Hunt	George
/whitaker	Thomas
/wodehouse	Charles Nourse
11 of parish of Bedale, Trustees	
24 sidesmen or vestry of the parish of C	
3 Trustees of the Chapel	
?	Lancelot
? , Oxford	
?.boore	John
a Browton	Jana
a Browton	Urianus
A major part of the Electors	
A majority of landowners in the Chapelry	
A majority of persons in whom the right	
A majority of persons in whom the right	
A Majority of persons in whom the right	
A majority of persons in whom the right	
A majority of the Governors of Sandbach	
a majority of the inhabitants in vestry	
A Majority of the Parishioners of the Pa	
A majority of the Trustees of Abbey Head	
A majority of the Trustees of Grayrigg S	
A Majority of the Trustees of Scorton Sc	
A majority of those with the right of no	
A'Fowle	Johannes
Aagg	Thomae
Aaldrich	Charles
Aamflit als Smith	Willielmus
Abbeford	Richard
Abberford	Johannes
Abbey	Richard
Abbey	Richard
Abbingdon	Willoughby
Abbot	Bartholomeus
Abbot	Bartholomeus
Abbot	Edwardus
Abbot	Morris
Abbot	Philip
Abbot	Robertus
Abbot	William
Abbot	William
Abbot	William
Abbot	William
Abbot and Convent of Lilleshill, Coventr	
Abbot of Bury St Edmunds	
Abbot of St Osyth	
Abbots Langley	Robert
Abbotson	John
Abbotson	Margaret
Abbott	Anthony
Abbott	Edvardus
Abbott	Edward
Abbott	Edwardus
Abbott	Johannes
Abbott	Johes
Abbott	Joseph
