clerSurn	clerFore
redhead	Richardus
homson	Thomas
            ley	Robert
 (H/D)illary	Johannes
 A Water	Willielmus
 Addison	 James
 andy	Johannes
 Bagshawe	Edwardus
 Baker	Thomas Casle
 Batte	Richardus
 Beetham	William
 Blake	Guilielmus
 blank	blank
 Buggey	Johannes
 Collins	Emanuel
 Ex	Johannes
 Foster	Aaron
 Goodman	Maurice Hillier
 Jouxon	Benjamin
 Lanranne	Jonathon
 Not given /Curatt	Peter
 Plucknett	Carolus
 Price	Thomas
 Ring	Richard
 Sackett	Stephanus
 Scaler	Richard
 Smith	Jeremiah
 Story	William Armine
 Tray	Johannes
 Vere	Sydenham fframpton
 Wallis	Mydhope
 Walmsley	Georgius
 Wayte?	Thomas
 Wickham	William
'last incumbent'	
(blank)	
(blank)	
(blank)	Thomas
(Cooper)	(Richard)
(ends) **rwell	
(H/D)illary	Johannes
(illegible)	Joannes
(illegible)	Robertum
(illegible)	Willelmum
(illegible)	William
(not given	not given
(not named)	
(unknown)	
***	Christopherus
********	Johannes
*****ent	illegible
*****on	Illegible
*****wick	Willimus
****bery	William
****combe	Richard James
****k	Charles
****mbyne	Johannes
****n	Brianus
****nett	Martinus
****taft	William
***ay	Johannes
***chy	Johes
***eley	Henry
***pe	
***ton	James
**ahms	William
**archers	Johes
**epsack	Johannes
**eriton	Thomas
**k*gg	Richardus
**ld*	Henricus
**lett	Henry
**lles	Thomas
**ltell	Edmund
**mpton	Gulielmus
**nnye	James
**noy	Daniel
**obyn	Edmund
**obyn	Edmund
**ou	William Strong
**pongdell	Johes
**res	Johannes
**rohock	Georgius
**sson	Cornelius
**tor	Richardus
*aker	illegible
*allewes	unknown
*angham	Alexander
*ascall	Gulielmus
*ascall	William
*aveley	Willimus
*awten	Robert
*awten	Robert
*axton	George Lardner
*ayeham	blank
*ebsey	Willimus
*ette	Thomas
*ienson	Nicholaus
*ilnor	William
*ipond	John
*oma	
*ordiffe	Leonard
*oste	Ricus
*owlson	John
*r**gt**	Richard Chute
*rat	Robertus
*rawen	Gervase
*rset	R*us
*ycrofte	illegible
*ynche	Thomas
-  blank - AGAIN  -	ditto - but he died!
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	--
--*	
--*	
--------	--------
--------	--------
--------	---------
----------	---------
----------	---------
----------	---------
-----nges	Tho
--ethe	William
... Cardwell	
... Cardwell	
