Element
(Blumholz)
(Commer) Francesco
(Georg) Kronprinz v. Hannover
(Georg) Kronprinz von Hannover
(J.)
(J.C.)
(Löschke), Johann Traugott
(Ph.)
(Strauss)
*Banck (Carl)
*Grisar (Alb.)
*Küffner (J.)
*Labarre (Th.)
*Mazel (Helene)
*Puget (Loïsa)
*Späth (A.)
A Methfessel
A Rossini.
A Schmitt
A.
A. (L. v.)
A. Adam
A. Andrich
A. Barth
A. Batta
A. Bergmann
A. Blagrove
A. Börner
A. Borodin
A. Borodine
A. Brandt
A. Braun
A. Bräunlich
A. Bruneau
A. Casorti
A. Claassen
A. Conradi
A. Corelli
A. Darr
A. de Peellaert
A. Dethou
A. Diabelli
A. Diederich
A. Dregert
A. Dreyschock
A. Duk
A. Durand
A. d’Hack
A. Ehrhardt
A. Fesca
A. Fessy
A. Fontaine
A. Fontana
A. Franchomme
A. Franz
A. Fumagalli
A. Gabrieli
A. Geyer
A. Glasounow
A. Glazounow
A. Goria
A. Gouffé
A. Gramont
A. Gressler
A. Hänlein
A. Hasselmann
A. Heine
A. Herman
A. Hermann
A. Hermann.
A. Holländer
A. Jacob
A. Jakob
A. Jonas
A. Jürgens
A. König
A. Kontecki
A. Kreuzberger
A. Kuhnert
A. Kützing
A. Labus
A. Lang
A. Lecorbeiller
A. Leduc
A. Lefort
A. Leutner
A. Liadow
A. Lieder
A. Loeschhorn
A. Lorenz
A. Lortzing
A. Lotti
A. M. Canthal
A. Mahr
A. Melchior
A. Merzdorf
A. Methfessel
A. Michelangeli
A. Mielenz
A. Miolan
A. Miramare
A. Moritz
A. Müller
A. Neibig
A. Neithardt
A. Parlow
A. Pastor
A. Placke
A. Pöhler
A. Rebattu
A. Rein
A. Reinbrecht
A. Rische
A. Ritter
A. Romagnesi
A. Rubinstein
A. Schäffer
A. Scherlein
A. Schleisiek
A. Schmitt
A. Scholze
A. Schreiner
A. Schulz
A. Schwartzkopff
A. Scriàbine
A. Seifert
A. Skalla
A. Söderman
A. Steinbrenner
A. Strebel
A. Talexy
A. Torriani
A. Trempler
A. Trieschmann
A. v. Goutta
A. Weissenborn
A. Werner
A. Wiedecke
A. Wiedeke
A. Winkler
A. Zimmermann
A. Zöllner
A., H. v.
A...., N.
A.B. Fürstenau
A.Chr. Jessen
A.E. Marschner
A.E. Titl
A.F. Häser
A.F. Meyer
A.F. Riccius
A.G. Ritter
A.H. Mas
A.J. Monar
A.J. Swoboda
A.L. Weiss
A.M. Canthal
A.M. Storch
A.R. Lerche
A.W. Bach
A.W. Gottschalg
A.W. Müller
Aachen, Hans v.
Aachen, Hans von
Aal, Carl
Aalborg, Max
Aal’s, Paul
Aaron, Emil
Abadie, L.
Abadie, Louis
Abbiati (A.)
Abbott, E.F.
Abd ul Perré
Abderhalden, J.V.
Abeelen (H. van den)
Abel (C.)
Abel (J.)
Abel (P.J.)
Abel, Bernhard
Abel, Bernhard.
Abel, Fr.
Abel, Gustav
Abel, J.
Abel, Jul.
Abel, L.
Abel, Louis
Abel, Ludwig
Abel, Ludwig.
Abel, M.
Abela
Abela (C.)
Abela (Carl)
Abela (L.)
Abela, C.
Abela, Carl
Abelspies, J.F.
Abelspies, J.F. Carl
Abendroth (Th.)
Abenheim
Abenheim (J.)
Abenheim (Jos.)
Abenheim, J
Abenheim, J.
Abenheim, Jos.
Abenheim, Joseph
Abenheim. J
Abenheim., Jos.
Aberle, G
Abert
Abert, J., J.
Abert, J.J.
Abert, W.
Abert, Wenzel
Abesser
Abesser (Ed.)
Abesser (Edm.)
Abesser (Edmund)
Abesser Ed.
Abesser Edm.
Abesser, Ad.
Abesser, E.
Abesser, Ed.
Abesser, Edm.
Abesser, Edmund
Abesser, Edmund.
Abesser. Edm.
Abheiter, Hermann
Abmeyer
Abos
Abraham, Leopold
Abramovitz
Ábrányi (Kornél)
Abrányi père, Corneille
Abrányi, C.
Abrányi, K.
Abrányi, Kornél
Absenger jun., Anton
Absenger, A.
Absenger, Ant.
Absenger, Anton
Abt
Abt (F.)
Abt (Fr.)
Abt (Franç.)
Abt (Franz)
Abt (Frz)
Abt (Frz.)
Abt Franz
Abt Frz
Abt, (Franz)
Abt, Alfred
Abt, F.
Abt, Ferd.
Abt, Fr.
Abt, Franç.
Abt, Franz
Abt, Franz.
Abt, Frç.
Abt, Frz
Abt, Frz.
Abt. Ferd.
Abt. Fr.
Abt. Franz.
Abt. Frz.
Abt., Frz.
Abt’s, Franz
Accolay, J.B.
Achenbach, Ch.
Achenbach, Charles
Achenbach, Julius
Acherer (J.)
Acherer, J.
Acherer, Jos.
Achleitner, R.
Achleitner, Rudolf
Achmet (Aga)
Achmet Aga
Acht, Wilh.
Achtel (Jos.)
Achten, Felix
Ackens (C.F.)
Ackens (C.P.)
Ackens, C.F.
Ackens, K.F.
Ackermann (A.J.)
Ackermann, A.
Ackermann, A.J.
Ackermann, August
Ackermann, W.
Acquaroli, Antonio
Acraman, Henry
Acton, C.
Acton, Ch.
Acton, Charles
Aczél, Kálmán
Ad. Blanc
Ad. Ferron
Ad. Henselt
Ad. Herman
Ad. Hermann
Ad. Hesse
Ad. Jensen
Ad. Schmidt
Ad., Ferron
Adaïewski (E.)
Adalb. Schönlein
Adalbert Jaksch
Adalbert Schönlein
Adalid, M. del
Adalini (C.)
Adam
Adam (A.)
Adam (Ad.)
Adam (Adolphe)
Adam (C. Ad.)
Adam (C.F.)
Adam (J.A.)
Adam (J.G.)
Adam (Jos. Aug.)
Adam (L.)
Adam, A.
Adam, A.C.
Adam, A.Ch.
Adam, Ad.
Adam, Adolph
Adam, Adolphe
Adam, Alex.
Adam, Alexander
Adam, C. Ferd.
Adam, C.A.
Adam, C.F.
Adam, C.Ferd.
Adam, Carl
Adam, Carl Ferd.
Adam, Carl Ferdinand.
Adam, Charles Adolphe
Adam, Charles Adolphe.
Adam, F.
Adam, H.
Adam, K. Ferd.
Adam, K.F.
Adam, K.Ferd.
Adam, P.
Adam, Th.
Adam, Theod.
Adam, Theodor
Adami, C.
Adams, Stephen
Adams, Thomas
