Surname	Forename
	
 Baker	Thomas Casle
 Batte	Richard
 No Name entered in Liber cleri	blank
 Sackett	Stephanus
 Tray	Johannes
1 empty liber cleri record	no entry
?Walle	William
a Beckett	Thomas
a Birnfeld	Urbanus Pierius
a Price	Johannes
A'Planta	Andrew Joseph
Abauzit	Marc Theophile Coutau
Abba	Franciscus
Abba	Georgius
Abbatt	William
Abbersley	Henry
Abbey	Henry
Abbey	Johannes
Abbey	Willimus
Abbeye	William
Abbington	John
Abbington	Thomas
Abbington	unknown
Abbis	Christopherus
Abbiss	John
Abbot	Adam
Abbot	Arthur
Abbot	Charles
Abbot	Edward
Abbot	George
Abbot	Georgius
Abbot	Johannes
Abbot	John
Abbot	Laurence
Abbot	Nathaniell
Abbot	Ricardus
Abbot	Robertus
Abbot	Thomas
Abbot	William
Abbott	Charles
Abbott	Edward
Abbott	George
Abbott	George Stackhouse
Abbott	Georgius
Abbott	Johannes
Abbott	John
Abbott	Nathaniel
Abbott	Ralph
Abbott	Robert
Abbott	Robertus
Abbott	Thomas
Abbott	Thomas Jessop
Abbott	William
Abbott	Willimus
Abbotte	Henrico
Abbotte	Robertus
Abbot[t]	Lemuel
Abbs	Cooper
Abbs	George Cooper
Abdy	Charles Boyd
Abdy	John Channing
Abdy	Stotherd
Abdy	Thomas Abdy
Abdy	William Jarvis
Abel	Laurentius
Abell	Joseph
Abell	Matthew
Abell	Richard
Abell	Robert
Abell	William
Abercromby	Thomas St Clair
Aberley	Henry
Abingdon	John
Abington	Roger
Abington	Thomas
Abis	Thomas
Abley	Thomas
Abney	John
Abney	Richardus
Abny	Richard
Abrahall	John Charles James Hoskins
Abraham	Adam
Abraham	Edward
Abraham	Henry
Abraham	Isaac
Abraham	Peter
Abraham	Richard
Abraham	Samuel
Abraham	Thomas Edward
Abraham	Willimus
Abrall	Johannes
Abram	Edwardus
Abram	unknown
Abran	Thome
Abrey	Thomas
Absolon	William
Abson	John
Abyngdon	Johannes
Acanthinus	Johannes
Acars	Richardus
Acheley	Johanni
