Pre_surn	Pre_fore
	
	
	Charles
	David
	Dobson
	Donald
	Edward
	Francis
	Francisci
	George
	Georgge
	Georgij
	Georgius
	Gilbert
	Henricus
	Henry
	James
	Johannes
	Johannis
	John
	Jonathon
	Joseph
	Lancelot
	Maurice
	Morgan
	Orme
	Parry
	Philip
	Phillips
	Reynoldson
	Ricardi
	Richard
	Richardus
	Robert
	Robertus
	Samuel
	Scrope
	Shute
	Thomas
	William
  Lewis	Thomas
 A Water	Willielmus
 Allen	James
 Beetham	William
 Foster	Aaron
 Goodman	Maurice Hillier
 Jouxon	Benjamin
 last incumbent	
 Lomas	John
 no name given	
 Scaler	Richard
 Vere	Sydenham fframpton
 Wickham	William
'last incumbent'	
(Bishop of Chichester)	Franc
(Bishop of London)	John Randolph
(late Bishop of Bristol)	Joseph
(Lord Bishop of Bristol)	Joseph
(not given)	
(Not named)	
(not stated)	
(unknown)	
(wanting)	Henrici
(wanting)	Humphredus
*  *	
****on	Thomas
*ene	Cuthbertus
*fall	unknown
*ordiffe	Leonard
-  blank - AGAIN  -	ditto - but he died!
--	
-----------	
-------------	
---------------	
-oalkes	Christoferus
... Cardwell	
25	
<..>ylding	Benjamin
?	
?	?
?	Gwalter
?	Gwalterus
? Swaynm	? Symonet
?.elomley?	Thomas
???ard	Thomas
?arche	Thomas
A***	William
Abauzit	Theophilus
Abba	Georgius
Abbis	Christopherus
Abbis	Magister
Abbot	Charles
Abbot	Edward
Abbot	Georgius
Abbot	Henricus
Abbot	Henry
Abbot	Joannis
Abbot	Johannes
Abbot	Johes
Abbot	John
Abbot	Robertus
Abbot	Thomas
Abbot	Willimus
Abbots	Robertus
Abbott	Arthurus
Abbott	Edmundus
Abbott	Edvardus
Abbott	Edward
Abbott	Edwardus
Abbott	George
Abbott	George Stackhouse
Abbott	Johannes
Abbott	Johannis
Abbott	John
Abbott	Lemuel
Abbott	Philip
Abbott	Ralph
Abbott	Rob'tus
Abbott	Robertus
Abbott	Thomas
Abbott	Thomas Jessop
Abbott	Walterus
Abbott	William
Abbotts	Johannes
Abbotts	Robertus
Abdy	Edvardi
Abdy	Stotherd
Abdy	Thomas
Abdy	William Jarvis
Abee	Alexandrus
Abel	Gulielmi
Abel	Johannes
Abel	Richard
Abell	Gulielmus
Abell	Johannes
Abell	Matheus
Abell	Robert
Abington	Thomas
Abney	John
Abney	Richardus
Abny	Richard
Abrahall	George
Abrahall	Georgius
Abrahall	John Hoskyns
Abraham	Adam
Abraham	Adamus
Abraham	Johannes
Abraham	Richard
Abrahams	Richard
Abrall	John
Abram	Adamus
Absalon	William
Absalon	Willimus
Absolon	William
Absolon	Willimus
Abson	John
Abson	Samuel
Abury	Johannes
Abyngdon	Johannes
Acanthinus	Johannes
Ackeworth	Willimus
Ackson	Guilielmus
Ackson	Gulielmus
Ackworth	Alanus
Ackworth	Allanus
Ackworth	Willimus
Acres	Joseph
Acres	Josephus
Acrewe	John
Acson	Willielmus
Acton	Edward
Acton	James
Acton	John
Acton	Robert
Acton	Thomas
Acton	William
Actone	Willimus
Acworth	Georgius
Acworth	William
Acworthe	Georgius
Acworthe	Willimus
Adair	Thomas
Adair	William
Adam	Christopheri
