Surname	Forenames
Abbot	George
Abbot	Robert
Abbott	George
Abernethy	John
Adair	Archibald
Adams	Bernard
Adamson	Patrick
Agar	Charles
Aitken	James
Aldrich	Robert
Alexander	Nathaniel
Allen	Edmund
Allen	Hugh
Allen	Joseph
Alley	William
Andrewes	Lancelot
Andrews	George
Arbuthnot	Alexander
Archbishop	Canterbury
Archdeacon	Durham
Archdeacon	Ely
Archdeacon	Lewes
Archdeacon	Northumberland
Archdeacon	Nottingham
Archdeacon	Rochester
Ashburnham	William
Ashe	St George
Atherton	John
Atterbury	Francis
Averill	John
Aylmer	John
Babington	Brutus
Babington	Gervase
Bagot	Lewis
Bagot	Richard
Baily	William
Baker	George
Baker	William
Bale	John
Bancroft	John
Bancroft	Richard
Barlow	Randolph
Barlow	Thomas
Barlow	William
Barnard	Thomas
Barnard	William
Barnes	Richard
Baron	Milo
Baron	Roland
Barow	Isaac
Barrett	Richard
Barrington	Shute
Barrow	Isaac
Bathurst	Henry
Bayly	Lewis
Bayly	Thomas
Baynes	Ralph
Beadon	Richard
Beauclerk	James
Beaw	William
Bedell	William
Bell	John
Bellenden	Adam
Bellot	Hugh
Bellott	Hugh
Bennet	William
Bennett	Robert
Benson	Martin
Bentham	Thomas
Beresford	George de la Poer
Beresford	Hon. William
Beresford	Lord John George
Berkeley	George
Berkeley	Gilbert
Best	John
Bethell	Christopher
Betoun	David
Betoun	James
Beveridge	William
Bickley	Thomas
Bilson	Thomas
Bird	John
Bisse	Philip
Bisse	Phillip
Bissett	William
Blackall	Offspring
Blackburn	Lancelot
Blackburn	Peter
Blandford	Walter
Blank	Blank
Blethin	William
Blomfield	Charles James
Blyth	Robert
Bodkin	Christopher
Bolton	Theophilus
Bonner	Edmund
Bothwell	Adam
Boulter	Hugh
Bourke	Hon. Joseph Deane
Bourke	Hon. Richard
Bourke	Joseph Dean
Bourne	Gilbert
Bowers	Thomas
Bowle	John
Boyd	Andrew
Boyd	James
Boyle	John
Boyle	Michael
Boyle	Richard
Boyle	Roger
Bradbridge	William
Bradford	Samuel
Bradley	John
Bradshaw	William
Brady	Hugh
Bramhall	John
Brideoake	Ralph
Bridgeman	John
Bridges	John
Bridgman	Henry
Brinkley	John
Broderick	Hon. Charles
Brodrick	Hon. Charles
Brooks	James
Browne	George
Browne	Jemmett
Browne	Peter
Brownrigg	Ralph
Bruce	Andrew
Buckeridge	John
Buckner	John
Buckworth	Theophilus
Bulkeley	Arthur
Bulkeley	Lancelot
Bull	George
Buller	William
Bullingham	John
Bullingham	Nicholas
Burgess	Thomas
Burgh	Ulysses
Burgo	Raymond de
Burgo	Roland de
Burnet	Alexander
Burnet	Gilbert
Burscough	William
Bush	Paul
Butler	Edmund
Butler	John
Butler	Joseph
Butson	Christopher
Butts	Robert
Cairncross	Alexander
Cairncross	Robert
Campbell	Alexander
Campbell	Donald
Campbell	John
Campbell	Neil
Capon	John
Carey	Valentine
Carey	William
Carleton	George
Carleton	Guy
Carmichael	Hon. William
Carr	Charles
Carr	Robert James
Carswell	John
Cartwright	Thomas
Cary	Mordecai
Casey	William
Cavanagh	Daniel
Cecil	Charles
Chaderton	William
Chamber	John
Chambers	John
Chandler	Edward
Chappell	William
Charden	John
Chenevix	Richard
Chester	Thomas
Cheyney	Richard
Chinnery	George
Chisholm	William
Christopherson	John
Clagett	Nicholas
Claggett	Nicholas
Clavering	Robert
Clayton	Robert
Cleaver	Euseby
Cleaver	William
Clerk	John
Cobbe	Charles
Coke	George
Coldwell	John
