clerSurn	clerFore
redhead	Richardus
homson	Thomas
	
            ley	Robert
  Bartholomewe	Willielmus
 (H/D)illary	Johannes
 A Water	Willielmus
 Addison	 James
 andy	Johannes
 Bagshawe	Edwardus
 Baker	Thomas Casle
 Batte	Richardus
 Beetham	William
 Blake	Guilielmus
 blank	blank
 Buggey	Johannes
 Collins	Emanuel
 Ex	Johannes
 Foster	Aaron
 Goodman	Maurice Hillier
 Jouxon	Benjamin
 Lanranne	Jonathon
 Not given /Curatt	Peter
 Plucknett	Carolus
 Price	Thomas
 Ring	Richard
 Sackett	Stephanus
 Scaler	Richard
 Smith	Jeremiah
 Story	William Armine
 Tray	Johannes
 Vere	Sydenham fframpton
 Wallis	Mydhope
 Walmsley	Georgius
 Wayte?	Thomas
 Wickham	William
"D"	nil
' Mr John Dodd, cl, presentatus ad hanc	John
'Ashewe'	
'D Edmund/ nullus curatus ibm'	
'Edmundus'	[blank]
'Franciscus'	
'Henry Dance' [= Harridance]	Samewell
'last incumbent'	
'Mr Archdeacon parson'	
'Mr Henry Daunce; Recte Harridance, Samu	
'Mr John Thomas Hylocinius'	
'Mr Nicholas'	
'no curate there'	
'rector colleg' Magdalen'	
'Rev Pater Ep Roffen' [= John Young]	
'Richardus'	
'Samuel Cottesford incumbens' added in a	
'vacat rectoria in laps'	
'Williamus vicarius'	
'Williamus vicarius'	BLANK
'Wyly': should be 'Griffith': probably e	Peter
(?) Booth	Robert
(?) Cole	Gregory
(?) Iogin	Francis
(?)Dalter	John
(Blank)	
(Blank)	Alexander
(Blank)	Bawldwinus
(Blank)	Christopher
(Blank)	Deonicius
(Blank)	Germanus
(Blank)	Henricus
(Blank)	Johanes
(Blank)	Johannes
(Blank)	Nicholaus
(blank)	Thomas
(Cooper)	(Richard)
(ends) **rwell	
(H/D)illary	Johannes
(illegible)	Joannes
(illegible)	Robertum
(illegible)	Willelmum
(illegible)	William
(Levinz)	Baptist
(not given	not given
(not named)	
(Other)	
(unknown)	
*  *	
***	Christopherus
********	Johannes
*****ent	illegible
*****on	Illegible
*****wick	Willimus
****bery	William
****combe	Richard James
****k	Charles
****mbyne	Johannes
****n	Brianus
****nett	Martinus
****taft	William
***ay	Johannes
***chy	Johes
***eley	Henry
***pe	
***ton	James
**ahms	William
**archers	Johes
**epsack	Johannes
**eriton	Thomas
**k*gg	Richardus
**ld*	Henricus
**lett	Henry
**lles	Thomas
**ltell	Edmund
**mpton	Gulielmus
**nnye	James
**noy	Daniel
**obyn	Edmund
