Surname	Forename
 Baker	Thomas Casle
 Batte	Richard
 Collins	Emanuel
 Collins	Emanuel
 No Name entered in Liber cleri	blank
 Sackett	Stephanus
 Smith	Jeremiah
 Tray	Johannes
 Wallis	Mydhope
 Walmsley	George
 Walmsley	Georgius
1 empty liber cleri record	no entry
?Walle	William
a Beckett	Thomas
a Birnfeld	Urbanus Pierius
a Price	Johannes
A'Planta	Andrew Joseph
Abauzit	Marc Theophile Coutau
Abba	Franciscus
Abba	Georgius
Abbatt	William
Abbersley	Henry
Abbey	Henry
Abbey	Johannes
Abbey	Willimus
Abbeye	William
Abbington	John
Abbington	Thomas
Abbiss	John
Abbot	Arthur
Abbot	Arthur
Abbot	Charles
Abbot	Edward
Abbot	Georgius
Abbot	Johannes
Abbot	John
Abbot	John
Abbot	Laurence
Abbot	Nathaniell
Abbot	Ralph
Abbot	Ricardus
Abbot	Robertus
Abbot	Thomas
Abbot	William
Abbot	William
Abbot	William
Abbott	Edward
Abbott	Edward
Abbott	George
Abbott	George
Abbott	George Stackhouse
Abbott	Johannes
Abbott	John
Abbott	John
Abbott	Robert
Abbott	Robertus
Abbott	Robertus
Abbott	Thomas
Abbott	Thomas Jessop
Abbott	William
Abbott	Willimus
Abbott	Willimus
Abbotte	Henrico
Abbot[t]	Lemuel
Abbs	Cooper
Abbs	George Cooper
Abdy	Charles Boyd
Abdy	John Channing
Abdy	Stotherd
Abdy	Thomas Abdy
Abdy	William Jarvis
Abel	Laurentius
Abell	Joseph
Abell	Matthew
Abell	Matthew
Abell	Richard
Abell	William
Abell	William
Aberley	Henry
Abingdon	John
Abington	Roger
Abington	Thomas
Abley	Thomas
Abney	John
Abney	Richardus
Abrahall	John Charles James Hoskins
Abraham	Adam
Abraham	Edward
Abraham	Henry
Abraham	Henry
Abraham	Isaac
Abraham	Peter
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abraham	Samuel
Abraham	Thomas Edward
Abraham	Willimus
Abram	unknown
Abran	Thome
Abrey	Thomas
Absolon	William
Abson	John
Abyngdon	Johannes
Acanthinus	Johannes
Acars	Richardus
Acheley	Johanni
Acherley	Richard
Ackers	Joseph
Ackinton	Philip
Ackland	Johannes
Ackland	Thomas
Ackland	Thomas Gilbank
Ackwortes	Johannes
Ackworth	Richard
Ackworth	Thomas
Ackworth	Willimus
Ackworthe	Georgius
Acland	Baldwinus
Acland	blank
Acnorth	Edwardus
Acres	Joseph
Acroyde	Rogerus
Acson	John
Acson	Thomas
Acson	William
Acton	Edward
Acton	Edward
