Pre_surn	Pre_fore
	Charles
	David
	Dobson
	Edward
	Francis
	Francisci
	George
	Georgge
	Georgij
	Georgius
	Gilbert
	Gilbert
	Gilbert
	Henricus
	Henry
	James
	Johannes
	Johannis
	John
	John
	John
	John
	John
	John
	John
	John
	Jonathon
	Lancelot
	Maurice
	Morgan
	Orme
	Parry
	Philip
	Phillips
	Phillips
	Reynoldson
	Ricardi
	Richardus
	Robert
	Robertus
	Samuel
	Samuel
	Shute
	Thomas
	Thomas
	Thomas
	William
	William
  Lewis	Thomas
 A Water	Willielmus
 Allen	James
 Beetham	William
 Foster	Aaron
 Goodman	Maurice Hillier
 Jouxon	Benjamin
 last incumbent	
 Lomas	John
 no name given	
 Scaler	Richard
 Vere	Sydenham fframpton
 Wickham	William
'Benfield'	'Ellis'
'last incumbent'	
(Bishop of Chichester)	Franc
(late Bishop of Bristol)	Joseph
(Lord Bishop of Bristol)	Joseph
(not given)	
(Not named)	
(not named)	
(unknown)	
(wanting)	Henrici
(wanting)	Humphredus
*  *	
****on	Thomas
****on	Thomas
*fall	unknown
*ordiffe	Leonard
-  blank - AGAIN  -	ditto - but he died!
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--	
--*	
--*	
-----------	
-------------	
---------------	
-oalkes	Christoferus
... Cardwell	
... Cardwell	
25	
<..>ylding	Benjamin
?	
?	?
?	?
?	Gwalter
?	Gwalterus
? Swaynm	? Symonet
?.elomley?	Thomas
???ard	Thomas
?arche	Thomas
A***	William
A***	William
A***	William
Abauzit	Theophilus
Abauzit	Theophilus
Abba	Georgius
Abbis	Christopherus
Abbis	Magister
Abbot	Charles
Abbot	Edward
Abbot	Edward
Abbot	Georgius
Abbot	Henricus
Abbot	Henricus
Abbot	Henry
Abbot	Henry
Abbot	Joannis
Abbot	Johannes
Abbot	Johes
Abbot	John
Abbot	John
Abbot	John
Abbot	John
Abbot	Robertus
Abbot	Thomas
Abbot	Willimus
Abbots	Robertus
Abbott	Arthurus
Abbott	Edmundus
Abbott	Edvardus
Abbott	Edvardus
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edward
Abbott	Edwardus
Abbott	Edwardus
Abbott	Edwardus
Abbott	George
Abbott	George
Abbott	George Stackhouse
Abbott	Johannes
Abbott	Johannes
Abbott	Johannes
Abbott	Johannis
Abbott	John
Abbott	John
Abbott	John
Abbott	Lemuel
Abbott	Philip
Abbott	Ralph
Abbott	Rob'tus
Abbott	Robertus
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas
Abbott	Thomas Jessop
Abbott	Thomas Jessop
Abbott	Walterus
Abbott	William
Abbotts	Johannes
Abbotts	Robertus
Abdy	Edvardi
Abdy	Stotherd
Abdy	Stotherd
Abdy	Stotherd
Abdy	Stotherd
Abdy	Stotherd
Abdy	Thomas
Abdy	William Jarvis
Abee	Alexandrus
Abel	Gulielmi
Abel	Johannes
Abel	Richard
Abell	Gulielmus
Abell	Johannes
Abell	Johannes
Abell	Matheus
Abell	Robert
Abington	Thomas
Abney	John
Abney	Richardus
Abny	Richard
Abrahall	George
Abrahall	Georgius
Abrahall	John Hoskyns
Abrahall	John Hoskyns
Abrahall	John Hoskyns
Abrahall	John Hoskyns
Abrahall	John Hoskyns
Abraham	Adam
Abraham	Adamus
Abraham	Johannes
Abraham	Johannes
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abraham	Richard
Abrahams	Richard
Abrall	John
Abrall	John
Abram	Adamus
Absalon	William
Absalon	Willimus
Absolon	William
Absolon	Willimus
Abson	John
Abson	Samuel
Abury	Johannes
Abyngdon	Johannes
Acanthinus	Johannes
Ackeworth	Willimus
Ackland	Thomas
Ackson	Guilielmus
Ackson	Gulielmus
Ackworth	Alanus
Ackworth	Allanus
Ackworth	Willimus
Acres	Joseph
Acres	Josephus
Acrewe	John
Acson	Willielmus
Acton	Edward
Acton	Edward
Acton	Edward
Acton	Edward
Acton	James
Acton	John
Acton	Robert
Acton	Thomas
Acton	William
Actone	Willimus
Acworth	Georgius
Acworth	William
Acworth	William
Acworthe	Georgius
Acworthe	Willimus
Adair	Thomas
Adair	William
Adair	William
Adam	Christopheri
Adam	Johannes
Adam	Thomas
Adam	Thomas
Adam	William
Adammae	Hugonis
Adams	
Adams	
Adams	Alexander
Adams	Benjamin
Adams	Benjamin
Adams	Charles
Adams	Christophori
Adams	Edvardi
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbert
Adams	Fitzherbertus
Adams	George
Adams	George
Adams	George
Adams	George
Adams	George
Adams	George
Adams	Gulielmi
Adams	Gulielmus
Adams	Henricus
Adams	Henricus
Adams	Henricus
Adams	Henricus
Adams	Henry
Adams	Henry
Adams	Henry
Adams	Henry Cay
Adams	Henry Cay
Adams	Henry Cay
Adams	Henry Cay
Adams	James
Adams	James
Adams	James
Adams	James
Adams	James
Adams	Joh'es
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannis
Adams	Johannis
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	John
Adams	Joshua
Adams	Joshua
Adams	Knightley
Adams	Knightly
Adams	Lawrence
Adams	Lodovicus
Adams	Matheus
Adams	Matheus
Adams	Nicholaus
Adams	Petrus
Adams	Petrus
Adams	Rice
Adams	Rice
Adams	Rice
Adams	Rice
Adams	Richard
Adams	Richard
Adams	Richard
Adams	Richardi
Adams	Richardus
Adams	Richardus
Adams	Richardus
Adams	Richardus
Adams	Richardus
Adams	Robert
Adams	Robertus
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Samuel
Adams	Shorland
Adams	Silvestri
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Simon
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas Coker
Adams	unknown
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	Willimus
Adamsby	Willielmi
Adamson	Daniel
Adamson	Gualterus
Adamson	Gulielmi
Adamson	Gulielmi
Adamson	James
Adamson	James
Adamson	James
Adamson	James
Adamson	Johannes
Adamson	Johannes
Adamson	Johannes
Adamson	Johannes
Adamson	John
Adamson	John
Adamson	John
Adamson	John
Adamson	Robert
Adamson	Samuel
Adamson	Samuelus
Adamson	Timothei
Adamson	Willelmi
Adamson	Willelmi
Adamson	Willelmi
Adamson	William
Adamthwaite	John
Adamthwaite	John
Adamthwaite	John
Adamthwaite	John
Adcock	
Adcock	John
Adcock	John
Adcock	Samuelis
Adcocke	Samuel
Adcoke	Willimus
Addams	Robertus
Addams	Robertus
Addamson	Johannes
Addenbrok	John
Addenbrook	Joannis
Addenbrook	Nicholaus
Addenbrook	Nicolas
Addenbrook	Samuel
Addenbrook	Samuel
Addenbrooke	Benjamin
Addenbrooke	John
Addenbrooke	John
Addenbrooke	John
Addenbrooke	John
Addenbrooke	Nicholas
Addenbrooke	Nicolaus
Addenbrooke	Samuel
Adderley	George William Bowyer
Adderley	Henry
Adderly	Thomae
Adderly	Thomas
Adderton	Joseph
Addie	John
Addingstone	Michaelis
Addington	Charles
Addington	Charles
Addington	Ricardus
Addington	William Leonard
Addishe	Philippus
Addison	Anthonius
Addison	Anthony
Addison	Anthony
Addison	Anthony
Addison	Antonius
Addison	Daniel
Addison	Daniel
Addison	James
Addison	James
Addison	James
Addison	James
Addison	James
Addison	James
Addison	James
Addison	John
Addison	John
Addison	Lancelot
Addison	Lancelot
Addison	Lancelot
Addison	Lancelott
Addison	Lancelotus
Addison	Leonard
Addison	Leonard
Addison	Leonard
Addison	Leonard
Addison	Leonard
Addison	Leonard
Addison	Leonard
Addison	Leonard
Addison	Leonard
Addison	Leonard
Addison	Richard
Addison	Richard
Addison	Thomas
Addison	Thomas
Addison	Thomas
Addison	Thomas
Addison	Thomas William
Addison	William
Addison	William
Addison	William
Addison	William
Addison	William
Addye	Robertus
Adee	Herbert
Adee	Herbert
Adee	Herbert
Adee	Herbert
Adee	Nicholas
Adee	Nicholaus
Adenbrook	Thomas
Adenbrooke	Thomas
Adeson	Thome
Adey	John
Adey	unknown
Adey	William
Adey Curtis	John
Adey Curtis	John
Adey Curtis	John
Adin	Robertus
Adished	Thomas ('sir')
Adkin	Lancaster
Adkin	Lancaster
Adkin	Lancaster
Adkin	Robert
Adkin	Robert
Adkin	Robert
Adkin	William
Adkin	William
Adlam	William
Adlard	Michaelis
Adlard	Sam:
Adlard	Samuel
Adlington	John
Adlinton	Thomas
Admas	William
Adney	George
Adney	Richard
Adney	Richard
Adney	Thomas
Adney	Thomas
Adnutt	Thomas
Adrian	Richard
Adrian	Richard
Adridge	Robertus
Ady	Thomas
Adye	Nicholaus
Aelmer	Edwardus
Aerskin	Gulielmi
Aerskin	Gulielmi
Aerton	Edw
Aeworth	Tho
Affleck	Gilbert
Affleck	Gilbert
Affleck	James
Affleck	James
Affleck	Robert
Affleck	Robert
Affleck	Robert
Affleck	Robert
After	John
After	John
After	John
Agar	Moses
Agar	Seth
Agar	Sethi
Agas	danielis
Agas	Edward
Agas	Edward
Agas	Edwardi
Agas	Edwardi
Agas	Elgij
Agate	Johannes
Agate	Johannes
Aggas	Antonii
Aggas	Antonii
Aggas	Benjaminus
Aggas	Gulielmi
Aggas	Unknown
Agge-Stock	John
Aglambie	Clementis
Aglandin	Henry
Aglenbie	Henry
Aglionbie	Johannes
Aglionbie	Johannes
Aglionby	Henricus
Aglionby	Henricus
Aglionby	Johannes
Aglionbye	Johannes
Aglyonby	Henrici
Agnett	Romanus
Agnew	Andreas
Agnew	Andrew
Agthorpe	Johannis
Aiglin	Willimus
Ailemer	Arthur
Aileworth	Hugo
Aileworth	Humphrey
Ailmer	Arthur
Ailmer	Johannis
Ailmer	Johannis
Ailmer	John
Ailmer	Theophili
Ailmer	Thomas
Ailmer	William
Ainge	Joseph
Ainger	William
Ainslie	Gilbert
Ainslie	Henry
Ainsworth	Carolus
Ainsworth	Edward
Ainsworth	Guilelmus
Ainsworth	Henry
Ainsworth	Samuelis
Ainsworth	Willmus
Ainy	John
Airay	Christopherus
Airay	Christopherus
Airay	Henry
Airay	Ricardus
Aires	Joseph
Airey	Joseph
Airey	Thomas
Airey	Thomas
Airey	Thomas
Airey	Thomas
Airey	William
Airson	Thomas
Airton	Edvardus
Aiscough	Henricus
Aiscough	Henricus
Aiscough	Henricus
Aish	Fidelis
Aish	Fidelis
Aish	Wilhelmus
Aiskew	John
Aiskew	John
Aisley	johannes
Aked	William
Aked	William
Aked	William
Akehurst	Alexander
Akehurst	Pell
Akeroid	Rogerus
Akeroide	Rogerus
Akroyd	Thomas
Akyns	Henry
Alablaster	Willimus
Alanson	Edvardi
Alanson	James
Alanson	Joseph
Alanson	Unknown
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alban	Thomas
Alberry	Johannes
Albery	Johannes
Albery	Johannes
Albery	Johannes
Albright	Rob'tus
Albright	Willielmus
Alchorne	Carolus
Alchorne	Gulielmi
Alchorne	Willimi
Alcock	Charles
Alcock	Charles
Alcock	Charles
Alcock	Charles
Alcock	Christopher
Alcock	Johannes
Alcock	Johes
Alcock	John
Alcock	John
Alcock	John
Alcock	John
Alcock	John
Alcock	John
Alcock	John
Alcock	John
Alcock	John
Alcock	Laurence
Alcock	Laurentius
Alcock	Laurentius
Alcock	Peter
Alcock	Petri
Alcock	Robert
Alcock	Thomas
Alcock	Thomas
Alcock	Thomas
Alcock	Thomas
Alcock	Thomas
Alcock	Wiliam
Alcock	William
Alcock	William
Alcock	Willimus
Alcocke	Edwardus
Alcocke	Gulielmi
Alcocke	Laurentius
Alcocke	Laurentius
Alcocke	Williami
Alcocke	Willielmus
Alcockson	Humphrey
Alcok	Thomas
Aldcroft	Charles
Alden	Henricus
Alden	Thomas
Aldenbrooke	Edvardus
Alder	Brianus
Alder	Gulielmus
Alderman	Franciscus
Alderne	Daniel
Alderne	Daniel
Alderne	Daniel
Alderne	Franciscus
Alders	Jacobus
Alders	Jacobus
Alders	James
Aldersey	Samuel
Alderson	Barnabas
Alderson	Barnabas
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	George
Alderson	Jacobus
Alderson	Jacobus
Alderson	Joseph
Alderson	Joseph
Alderson	Martin
Alderson	Richardi
Alderson	Robertus
Alderson	Samuelis
Alderson	William
Alderson	William
Alderston	Johannes
Alderston	Johannes
Aldesley	Mark
Aldey	Edward
Aldey	Edward
Aldey	Edward
Aldham	Joannis
Aldham	Joannis
Aldhouse	Alleyn
Aldhouse	Alleyn
Aldhouse	Alleyn
Aldington	William
Aldington	William
Aldington	William
Aldington	William
Aldington	William
Aldington	William
Aldington	William
Aldirch	William
Aldred	Henricus
Aldred	Henricus
Aldred	Johannes
Aldred	Johannes
Aldred	Johannes
Aldred	John
Aldred	Thomas
Aldredde	Henricus
Aldrich	Charles
Aldrich	Charles
Aldrich	Henry
Aldrich	Henry
Aldrich	Stephen
Aldrich	Stephen
Aldrich	Stephen
Aldrich	Stephen
Aldrich	Steven
Aldrich	Thomas
Aldrich	William
Aldrich	William
Aldrich	William
Aldriche	Richardus
Aldriche	Thomas
Aldridge	Joseph
Aldridge	Joseph
Aldridge	Robertus
Aldridge	Willimus
Aldritch	George
Aldrith	Jacobi
Aldrydge	Thoms
Aldus	Glielmi
Aldus	Samuelis
Aldwiche	Simon
Aldworth	Johannes
Aldworth	John
Aldworth	Nathanael
Aldworth	Thomas
Aldworth	Thomas
Aldy	Thome
Aleby	Willelmi
Alen	Edmundus
Alen	Johannes
Alen	Johannis
Alen	John
Alen	Ricardus
Alen	Richard
Alen	Robertus
Alen	Thomas
Alen	Thomas
Alen	Thome
Alenson	Edwardi
Alenson	Johannis
Alesbury	Thomas
