billington occurs in the waterloo-index
Pattern                 Rank	Count	Distance
billington              405	5	1
millington              306	6	2
wellington              237	37	3
wallington              205	5	3
billings                204	4	3
jviillington            201	1	2
billingsley             201	1	3
babington               116	16	4
billing                 112	12	4
pilkington              111	11	4
islington               105	5	4
ellington               105	5	3
darlington              104	4	4
burlington              103	3	4
bebbington              103	3	4
fillingham              102	2	4
tollington              101	1	3
shillinglaw             101	1	4
pollington              101	1	3
pocklington             101	1	4
cullington              101	1	3
biltington              101	1	3
billinqton              101	1	3
billing-                101	1	3
wilmington              4	4	4
watlington              3	3	4
shillings               3	3	4
portarlington           3	3	4
iletherington           3	3	4
stillingfleet           2	2	4
pilling-                2	2	4
binnington              2	2	4
arlington               2	2	4
wliittington            1	1	4
willinmstown            1	1	4
wiitulington            1	1	4
welliljgton             1	1	4
watlingtoh              1	1	4
utibington              1	1	4
tarlington              1	1	4
shilling-               1	1	4
pillingnot              1	1	4
pillingand              1	1	4
pilkingtou              1	1	4
paklington              1	1	4
milliugton              1	1	4
lusbington              1	1	4
litshington             1	1	4
lington                 1	1	4
lingtaunton             1	1	4
lilljngnton             1	1	4
keenhillingdon          1	1	4
jlillinyton             1	1	4
ilcmington              1	1	4
ilartington             1	1	4
hhillings               1	1	4
hetlierington           1	1	4
hakbington              1	1	4
ellrington              1	1	4
eglingtoun              1	1	4
ebbington               1	1	4
driglington             1	1	4
dillingi                1	1	4
cruiserilling-          1	1	4
chillingwo-tth          1	1	4
chilling-ham            1	1	4
cfillings               1	1	4
bubington               1	1	4
bivingtou               1	1	4
bilungton               1	1	4
billinj                 1	1	4
biliingt                1	1	4
bebbingtou              1	1	4
bcbbington              1	1	4
ali-ington              1	1	4
abington                1	1	4

76 entries found in 9.41 sec
