palmerston occurs in the waterloo-index
Pattern                 Rank	Count	Distance
palmerston              1556	1256	1
palmerstox              213	13	1
palmerstou              211	11	1
palmerstok              209	9	1
palmerstoh              209	9	1
palmerstonin            205	5	1
palmerstoit             205	5	1
palmerston—           204	4	1
palmerstonj             204	4	1
palmerstonand           204	4	1
palmerstori             203	3	1
palmerstoa              203	3	1
palmerstow              202	2	1
palmerstost             202	2	1
palmerstos              202	2	1
palmerstons             202	2	1
palmerston-             202	2	1
palmerstojt             202	2	1
palmerstoti             201	1	1
palmerstort             201	1	1
palmerstop              201	1	1
palmerstonwho           201	1	1
palmerstonwe            201	1	1
palmerstonr             201	1	1
palmerstonor            201	1	1
palmerstonnor           201	1	1
palmerstonian           201	1	1
palmerstoni             201	1	1
palmerstonhe            201	1	1
palmerstonhas           201	1	1
palmerstonhad           201	1	1
palmerstonat            201	1	1
palmerstom              201	1	1
palmerstokr             201	1	1
palmerstoisr            201	1	1
palmerstois             201	1	1
palmerstoii             201	1	1
palmerstoif             201	1	1
palmerstoia             201	1	1
palmerstoi              201	1	1
palmerstoet             201	1	1
palmerstobt             201	1	1
jpalmerstonas           201	1	1
falmerston              114	14	2
palmerstqn              105	5	2
palmers-ton             105	5	2
palmebston              105	105	3
palmerstbn              104	4	2
palmersto               103	3	2
pajlmerston             103	3	2
talmerston              102	2	2
palmerstpn              102	2	2
ealmerston              102	2	2
balmerston              102	2	2
valmerston              101	1	2
paslmerston             101	1	2
paltmerston             101	1	2
palmierstost            101	1	2
palmervston             101	1	2
palmerstw               101	1	2
palmersttm              101	1	2
palmersttih             101	1	2
palmerstpx              101	1	2
palmerstpvs             101	1	2
palmerstgn              101	1	2
palmerstem              101	1	2
palmerstco              101	1	2
palmerstcn              101	1	2
palmerstatv             101	1	2
palmerst-on             101	1	2
palmeriston             101	1	2
palmereston             101	1	2
palmer-ston             101	1	2
palmejrston             101	1	2
palimerston             101	1	2
pal-merstox             101	1	2
pal-merston             101	1	2
pailmerston             101	1	2
pa-lmerston             101	1	2
palmekston              60	60	3
palmorston              42	42	3
paxmerston              33	33	3
palmeraton              30	30	3
palmeuston              27	27	3
palmeeston              26	26	3
palmehston              23	23	3
palmcrston              23	23	3
palinerston             19	19	3
palmkrston              18	18	3
palnierston             16	16	3
paiimerston             13	13	3
palrnerston             12	12	3
palraerston             12	12	3
palmbrston              12	12	3
paimerston              12	12	3
palmeiiston             11	11	3
palmersxon              7	7	3
palmereton              7	7	3
pulmerston              6	6	3
pnlmerston              6	6	3
paltnerston             6	6	3
palmerhton              6	6	3
palmerst                5	5	3
palmekstox              5	5	3
polmerston              4	4	3
palnaerston             4	4	3
paljierston             4	4	3
paliierston             4	4	3
palsierston             3	3	3
palmisrston             3	3	3
palmeustox              3	3	3
palmersfcon             3	3	3
palmernton              3	3	3
palmekstok              3	3	3
palmeitston             3	3	3
palmeestok              3	3	3
palmebstox              3	3	3
palmebstoh              3	3	3
palbierston             3	3	3
pjilmerston             2	2	3
piilmerston             2	2	3
paxmerstox              2	2	3
palxnerston             2	2	3
palnierstou             2	2	3
palmurston              2	2	3
palmrrston              2	2	3
palmicrston             2	2	3
palmerslon              2	2	3
palmersion              2	2	3
palmerflton             2	2	3
palmerbton              2	2	3
palmer-bton             2	2	3
palmei-ston             2	2	3
palmehstox              2	2	3
palmefston              2	2	3
palmebstost             2	2	3
palmebstok              2	2	3
palmebstojt             2	2	3
paiimerstok             2	2	3
vulmerstoii             1	1	3
pulmerstou              1	1	3
pulmerstoii             1	1	3
pttlmerston             1	1	3
pnlmerstou              1	1	3
pivlmerston             1	1	3
paxtmerston             1	1	3
paxmerston—           1	1	3
paxmerstom              1	1	3
paximerston             1	1	3
pax-merston             1	1	3
patmerston              1	1	3
patjmerston             1	1	3
pat-merstont            1	1	3
pamerstox               1	1	3
palwerston              1	1	3
paluierston             1	1	3
paluaerston             1	1	3
paltvierston            1	1	3
paltuerston             1	1	3
paltnterston            1	1	3
paltnerstoii            1	1	3
paltmerstckn            1	1	3
palrnerstoii            1	1	3
palrcerstonix           1	1	3
palnxerstonu            1	1	3
palnoerston             1	1	3
palnerston              1	1	3
palmwrston              1	1	3
palmrstoh               1	1	3
palmorstou              1	1	3
palmorstona             1	1	3
palmorstoii             1	1	3
palmkrstok              1	1	3
palmjsrston             1	1	3
palmjgrston             1	1	3
palmijrston             1	1	3
palmicrstox             1	1	3
