$00A	00C1	‚A
$00C	0106	‚C
$00E	00C9	‚E
$00I	00CD	‚I
$00L	0139	‚L
$00N	0143	‚N
$00O	00D3	‚O
$00R	0154	‚R
$00S	015A	‚S
$00U	00DA	‚U
$00Y	00DD	‚Y
$00Z	0179	‚Z
$00a	00E1	‚a
$00c	0107	‚c
$00e	00E9	‚e
$00i	00ED	‚i
$00l	013A	‚l
$00n	0144	‚n
$00o	00F3	‚o
$00r	0155	‚r
$00s	015B	‚s
$00u	00FA	‚u
$00y	00FD	‚y
$00z	017A	‚z
$01A	0100	ÂA
$01E	0112	ÂE
$01I	012A	ÂI
$01O	014C	ÂO
$01S	0053 0304	ÂS
$01U	016A	ÂU
$01Y	0232	ÂY
$01Z	005A 0304	ÂZ
$01a	0101	Âa
$01e	0113	Âe
$01i	012B	Âi
$01o	014D	Âo
$01s	0073 0304	Âs
$01u	016B	Âu
$01y	0233	Ây
$01z	007A 0304	Âz
$02A	00C0	·A
$02E	00C8	·E
$02I	00CC	·I
$02O	00D2	·O
$02U	00D9	·U
$02Y	1EF2	·Y
$02a	00E0	·a
$02e	00E8	·e
$02i	00EC	·i
$02o	00F2	·o
$02u	00F9	·u
$02y	1EF3	·y
$03A	00C2	„A
$03C	0108	„C
$03E	00CA	„E
$03G	011C	„G
$03H	0124	„H
$03I	00CE	„I
$03J	0134	„J
$03O	00D4	„O
$03S	015C	„S
$03U	00DB	„U
$03W	0174	„W
$03Y	0176	„Y
$03a	00E2	„a
$03c	0109	„c
$03e	00EA	„e
$03g	011D	„g
$03h	0125	„h
$03i	00EE	„i
$03j	0135	„j
$03o	00F4	„o
$03s	015D	„s
$03u	00FB	„u
$03w	0175	„w
$03y	0177	„y
$04A	00C4	ËA
$04E	00CB	ËE
$04I	00CF	ËI
$04N	004E 0308	ËN
$04O	00D6	ËO
$04U	00DC	ËU
$04Y	0178	ËY
$04a	00E4	Ëa
$04e	00EB	Ëe
$04i	00EF	Ëi
$04n	006E 0308	Ën
$04o	00F6	Ëo
$04u	00FC	Ëu
$04y	00FF	Ëy
$05C	00C7	C
$05D	1E10	D
$05G	0122	G
$05H	1E28	H
$05K	0136	K
$05L	013B	L
$05N	0145	N
$05R	0156	R
$05S	015E	S
$05T	0162	T
$05Z	005A 0327	Z
$05c	00E7	c
$05d	1E11	d
$05g	0123	g
$05h	1E29	ˆh
$05k	0137	k
$05l	013C	l
$05n	0146	n
$05r	0157	r
$05s	015F	s
$05t	0163	t
$05z	007A 0327	z
$06A	0102	ÊA
$06E	0114	ÊE
$06G	011E	ÊG
$06I	012C	ÊI
$06O	014E	ÊO
$06U	016C	ÊU
$06a	0103	Êa
$06e	0115	Êe
$06g	011F	Êg
$06i	012D	Êi
$06o	014F	Êo
$06u	016D	Êu
$07A	01CD	ÈA
$07C	010C	ÈC
$07D	010E	ÈD
$07E	011A	ÈE
$07G	01E6	ÈG
$07I	01CF	ÈI
$07K	01E8	ÈK
$07L	013D	ÈL
$07N	0147	ÈN
$07O	01D1	ÈO
$07R	0158	ÈR
$07S	0160	ÈS
$07T	0164	ÈT
$07U	01D3	ÈU
$07Z	017D	ÈZ
$07a	01CE	Èa
$07c	010D	Èc
$07d	010F	Èd
$07e	011B	Èe
$07g	01E7	Èg
$07i	01D0	Èi
$07k	01E9	Èk
$07l	013E	Èl
$07n	0148	Èn
$07o	01D2	Èo
$07r	0159	Èr
$07s	0161	Ès
$07t	0165	Èt
$07u	01D4	Èu
$07z	017E	Èz
$08C	010A	ÁC
$08E	0116	ÁE
$08G	0120	ÁG
$08I	0130	ÁI
$08M	1E40	ÁM
$08N	1E44	ÁN
$08R	1E58	ÁR
$08Z	017B	ÁZ
$08c	010B	Ác
$08e	0117	Áe
$08g	0121	Ág
$08m	1E41	Ám
$08n	1E45	Án
$08z	017C	Áz
$09A	00C3	‰A
$09E	1EBC	‰E
$09I	0128	‰I
$09N	00D1	‰N
$09O	00D5	‰O
$09U	0168	‰U
$09Y	1EF8	‰Y
$09a	00E3	‰a
$09e	1EBD	‰e
$09i	0129	‰i
$09n	00F1	‰n
$09o	00F5	‰o
$09u	0169	‰u
$09y	1EF9	‰y
$10A	00C5	ÍA
$10U	016E	ÍU
$10a	00E5	Ía
$10u	016F	Íu
$11	02B9	ß
$12O	0150	ÓO
$12U	0170	ÓU
$12o	0151	Óo
$12u	0171	Óu
$13L	0141	°
$13l	0142	±
