1000000		1000000	N	1000000	F	This is the top or "root" of the TGN hierarchy.	1		1000000
1000000		1000003	N	7029392	P	Europe was an early home to Homo erectus, Neanderthal and modern Homo sapiens. Agricultural settlements arose in the 7th millennium BCE. Advanced civilizations developed here in the Mediterranean area with Asian and African influences. Modern European nations began to form after the fall of the Western Roman Empire in the fifth century CE. The late 20th and early 21st centuries have witnessed the formation and expansion of the European Union, a group of European nations allied for trade and some administrative purposes, such as a common currency. 	1		1000003
1000000		1000080	N	1000003	A	Inhabited since 50,000 BCE; settled by Indo-Europeans 1850 BCE, Etruscans 1600 BCE, and Greeks 800 BCE; united by Romans 270 BCE; independent states rose after fall of Holy Roman Empire, notably Naples, Milan, Florence, Venice and papacy; reunited in the 19th century; official language is Italian, though significant minorities speak German, French, and Slovene.	1		1000080
1000000		1003460	N	7009760	A		1		1003460
1000000		1003473	N	7009760	A		1		1003473
1000000		1006715	N	7003164	P	Volcanic island charted by Greeks & Romans; refuge of monks in 4th cen.; taken by Saracens in 1055; passed to the rule of Genovese in 15th cen; site of a penal colony in 1872.	1		1006715
1000000		1007187	N	1003460	P		1		1007187
1000000		1007191	N	1003460	P	Was inhabited from Stone Age through Roman era; Roman ruins are visible at Giglio Porto.	1		1007191
1000000		1008204	N	7003164	A	Part of Arcipelago Toscano, S of island of Elba; state hunting preserve; site of ruins of 13th-cen. monastery abandoned in 1553 after having been destroyed by pirates; noted as setting for novel The Count of Monte Cristo (1844) by Alexandre Dumas p$02ere.	1		1008204
1000000		1012389	N	7006197	P		1		1012389
1000000		1043080	N	7003167	A		1		1043080
1000000		1043117	N	7003167	A		1		1043117
1000000		1043230	N	7003164	A		1		1043230
1000000		1043261	N	1003460	A		1		1043261
1000000		1043270	N	7003164	A		1		1043270
1000000		1043289	N	7003166	A		1		1043289
1000000		1043291	N	7003165	A		1		1043291
1000000		1043360	N	7003162	A		1		1043360
1000000		1043373	N	7003168	A		1		1043373
1000000		1043381	N	1003473	A		1		1043381
1000000		1043404	N	1003473	A		1		1043404
1000000		1043406	N	7003163	A		1		1043406
1000000		1043500	N	7003164	A		1		1043500
1000000		1043506	N	7003166	A		1		1043506
1000000		1043665	N	7003162	A		1		1043665
1000000		1043693	N	7003166	A		1		1043693
1000000		1043728	N	7003166	A		1		1043728
1000000		1043776	N	7003168	A		1		1043776
1000000		1043808	N	7003162	A		1		1043808
1000000		1043843	N	7003166	A		1		1043843
1000000		1043852	N	7006197	A		1		1043852
1000000		1043854	N	7003167	A		1		1043854
1000000		1043955	N	1003473	A		1		1043955
1000000		1043975	N	7003164	A		1		1043975
1000000		1043986	N	7003168	A		1		1043986
1000000		1043996	N	1003460	A		1		1043996
1000000		1044018	N	1003460	A		1		1044018
1000000		1044056	N	7003168	A		1		1044056
1000000		1044058	N	7003165	A		1		1044058
1000000		1044060	N	7003166	A		1		1044060
1000000		1044073	N	7003162	A		1		1044073
1000000		1044085	N	1003460	A		1		1044085
1000000		1044126	N	7003164	A		1		1044126
1000000		1044204	N	7003166	A		1		1044204
1000000		1044250	N	1003460	A		1		1044250
1000000		1044257	N	7003167	A		1		1044257
1000000		1044289	N	1003460	A		1		1044289
1000000		1044293	N	7003162	A		1		1044293
1000000		1044329	N	7003164	A		1		1044329
1000000		1044342	N	1003473	A		1		1044342
1000000		1044363	N	7003163	A		1		1044363
1000000		1044378	N	7003165	A		1		1044378
1000000		1044419	N	7003163	A		1		1044419
1000000		1044483	N	7003163	A		1		1044483
1000000		1044532	N	1003473	A		1		1044532
1000000		1044568	N	7003166	A		1		1044568
1000000		1044626	N	1003473	A		1		1044626
1000000		1044641	N	1003460	A		1		1044641
1000000		1044654	N	1003460	A		1		1044654
1000000		1044669	N	7003163	A		1		1044669
1000000		1044679	N	7003165	A		1		1044679
1000000		1044682	N	1003473	A		1		1044682
1000000		1044730	N	7003168	A		1		1044730
1000000		1044749	N	7003163	A		1		1044749
1000000		1044775	N	7003167	A		1		1044775
1000000		1044778	N	1003460	A		1		1044778
1000000		1044816	N	1007191	A		1		1044816
1000000		1044983	N	7003167	A		1		1044983
1000000		1045019	N	7003166	A		1		1045019
1000000		1045020	N	7003166	A		1		1045020
1000000		1045050	N	7003165	A		1		1045050
1000000		1045051	N	7003167	A		1		1045051
1000000		1045082	N	1003473	A		1		1045082
1000000		1045085	N	7003165	A		1		1045085
1000000		1045182	N	1003460	A		1		1045182
1000000		1045211	N	1003460	A		1		1045211
1000000		1045242	N	7006197	A		1		1045242
1000000		1045243	N	7006197	A		1		1045243
1000000		1045256	N	7006197	A		1		1045256
1000000		1045258	N	1003473	A		1		1045258
1000000		1045259	N	7003164	A		1		1045259
1000000		1045261	N	1003460	A		1		1045261
1000000		1045262	N	1003473	A		1		1045262
1000000		1045265	N	7003165	A		1		1045265
1000000		1045266	N	7003166	A		1		1045266
1000000		1045278	N	7003163	A		1		1045278
1000000		1045307	N	7003165	A		1		1045307
1000000		1045466	N	7003167	A		1		1045466
1000000		1045544	N	1003460	A		1		1045544
1000000		1045551	N	7003168	A		1		1045551
1000000		1045557	N	1003460	A		1		1045557
1000000		1045563	N	7003166	A		1		1045563
1000000		1045566	N	7003163	A		1		1045566
1000000		1045576	N	7003168	A		1		1045576
1000000		1045577	N	1003460	A		1		1045577
1000000		1045582	N	7003166	A		1		1045582
1000000		1045612	N	7003165	A		1		1045612
1000000		1045629	N	1003473	A		1		1045629
1000000		1045754	N	7003167	A		1		1045754
1000000		1045918	N	7003162	A		1		1045918
1000000		1045931	N	7003165	A		1		1045931
1000000		1045959	N	7003162	A		1		1045959
1000000		1045962	N	7003168	A		1		1045962
1000000		1045970	N	7003167	A		1		1045970
1000000		1045991	N	7003163	A		1		1045991
1000000		1046000	N	7003165	A		1		1046000
1000000		1046002	N	7003162	A		1		1046002
1000000		1046031	N	7003167	A		1		1046031
1000000		1046075	N	7003166	A		1		1046075
1000000		1046082	N	7003166	A		1		1046082
1000000		1046089	N	7003163	A		1		1046089
1000000		1046095	N	7003163	A		1		1046095
1000000		1046096	N	7003165	A		1		1046096
1000000		1046097	N	7003168	A		1		1046097
1000000		1046118	N	7003167	A		1		1046118
1000000		1046135	N	1003460	A		1		1046135
1000000		1046139	N	7006197	A		1		1046139
1000000		1046148	N	1003460	A		1		1046148
1000000		1046205	N	7006197	A		1		1046205
1000000		1046210	N	7003162	A		1		1046210
1000000		1046215	N	7003167	A		1		1046215
1000000		1046217	N	7003164	A		1		1046217
1000000		1046228	N	7003168	A		1		1046228
1000000		1046288	N	7006197	A		1		1046288
1000000		1046302	N	1003460	A		1		1046302
1000000		1046346	N	1003460	A		1		1046346
1000000		1046384	N	7003164	A		1		1046384
1000000		1046385	N	7003164	A		1		1046385
1000000		1046438	N	7003166	A		1		1046438
1000000		1046451	N	7003167	A		1		1046451
1000000		1046545	N	7003166	A		1		1046545
1000000		1046567	N	7003167	A		1		1046567
1000000		1046615	N	7003164	A		1		1046615
1000000		1046641	N	7003164	A		1		1046641
1000000		1046703	N	7003166	A		1		1046703
1000000		1046709	N	1003460	A		1		1046709
1000000		1046712	N	7003166	A		1		1046712
1000000		1046721	N	7003166	A		1		1046721
1000000		1046802	N	1003460	A		1		1046802
1000000		1046803	N	1003460	A		1		1046803
1000000		1047001	N	7003165	A		1		1047001
1000000		1047023	N	7003162	A		1		1047023
1000000		1047036	N	7003164	A		1		1047036
1000000		1047087	N	7003162	A		1		1047087
1000000		1047093	N	7003162	A		1		1047093
1000000		1047112	N	7003166	A		1		1047112
1000000		1047144	N	7003165	A		1		1047144
1000000		1047151	N	7003168	A		1		1047151
1000000		1047166	N	7003163	A		1		1047166
1000000		1047269	N	7024741	A		1		1047269
1000000		1047332	N	7003166	A		1		1047332
1000000		1047338	N	7003167	A		1		1047338
1000000		1047352	N	7003164	A		1		1047352
1000000		1047366	N	7024741	A		1		1047366
1000000		1047446	N	1003473	A		1		1047446
1000000		1047514	N	1003473	A		1		1047514
1000000		1100052	N	7003168	A		1		1100052
1000000		1100124	N	7003162	A		1		1100124
1000000		1100133	N	7003166	A		1		1100133
1000000		1101282	N	7009760	A		1		1101282
1000000		1101289	N	1003473	A		1		1101289
1000000		1103685	N	7009760	P		1		1103685
1000000		1104120	N	7003164	P		1		1104120
1000000		1104138	N	7006197	P		1		1104138
1000000		1104163	N	1006715	P		1		1104163
1000000		1104192	N	7003168	P		1		1104192
1000000		1104629	N	7003162	P		1		1104629
1000000		1105021	N	1003460	P		1		1105021
1000000		1105368	N	1003460	P		1		1105368
1000000		1105685	N	1003460	P		1		1105685
1000000		1106401	N	7009760	P		1		1106401
1000000		1106911	N	7009760	P		1		1106911
1000000		1108367	N	7003167	P		1		1108367
1000000		1108368	N	7009760	P		1		1108368
1000000		1108469	N	7009760	P		1		1108469
1000000		1108487	N	7009760	P		1		1108487
1000000		1108527	N	7009760	P		1		1108527
1000000		1108590	N	7003165	P		1		1108590
1000000		1108724	N	7009760	P		1		1108724
1000000		1108893	N	7009760	P		1		1108893
1000000		1109344	N	7009760	P	Was a productive source of copper and iron for at least since the time of the Etruscans.	1		1109344
1000000		1109363	N	7003168	P		1		1109363
1000000		1109495	N	7009760	P	Long mountain ridge to the SE of Florence, between the Valdarno & the Casentino.	1		1109495
1000000		1109756	N	1003460	P		1		1109756
1000000		1111810	N	7009760	A	Comprises the fertile valley area around the middle course of the Arno river.	1		1111810
1000000		1112063	N	7009760	A		1		1112063
1000000		1112377	N	1003460	P		1		1112377
1000000		1114232	N	7003164	P		1		1114232
1000000		1114802	N	1003460	P		1		1114802
1000000		1115906	N	7003168	P		1		1115906
1000000		1117234	N	7003165	P		1		1117234
1000000		1121328	N	7009760	P		1		1121328
1000000		1121388	N	7009760	P	Principal body of water in Tuscany, though mainly unnavigable; rises on Monte Falterona in Tuscan Apennines; flows southwest for 150 miles, through Florence to the Ligurian Sea; valley of the Arno has been altered by man and ancient delta has been largely reclaimed.	1		1121388
1000000		1121940	N	7009760	P		1		1121940
1000000		1122250	N	1003460	P		1		1122250
1000000		1122612	N	7009760	P		1		1122612
1000000		1123066	N	7009760	P		1		1123066
1000000		1123775	N	7009760	P		1		1123775
1000000		1123823	N	7009760	P		1		1123823
1000000		1124371	N	7009760	P		1		1124371
1000000		1126117	N	7009760	P		1		1126117
1000000		1126122	N	7009760	P		1		1126122
1000000		1126668	N	1003473	P		1		1126668
1000000		1127088	N	7009760	P		1		1127088
1000000		1128089	N	7009760	P		1		1128089
1000000		1128141	N	7009760	P		1		1128141
1000000		1128558	N	7009760	P		1		1128558
1000000		1129867	N	7009760	P		1		1129867
1000000		1130008	N	7003163	P		1		1130008
1000000		1137022	N	1003473	A		1		1137022
1000000		4000491	N	1003460	A		1		4000491
1000000		4000862	N	7003163	A		1		4000862
1000000		4001112	N	7000457	A		1		4001112
1000000		4001206	N	7003164	A		1		4001206
1000000		4001386	N	7003165	A		1		4001386
1000000		4001692	N	7003167	A		1		4001692
1000000		4001976	N	7003167	A		1		4001976
1000000		4002142	N	7003165	A		1		4002142
1000000		4002143	N	7003163	A		1		4002143
1000000		4002281	N	7003163	A		1		4002281
1000000		4002300	N	7003163	A		1		4002300
1000000		4002302	N	7003166	A		1		4002302
1000000		4002333	N	7003163	A		1		4002333
1000000		4002344	N	1003460	A		1		4002344
1000000		4002353	N	7003163	A		1		4002353
1000000		4002427	N	7003168	A		1		4002427
1000000		4002439	N	7003163	A		1		4002439
1000000		4002640	N	7003168	A		1		4002640
1000000		4002660	N	7003162	A		1		4002660
1000000		4002753	N	1003473	A		1		4002753
1000000		4002779	N	7003163	A		1		4002779
1000000		4002789	N	7003167	A		1		4002789
1000000		4002793	N	7003167	A		1		4002793
1000000		4002803	N	7003164	A		1		4002803
1000000		4002880	N	7003163	A		1		4002880
1000000		4003081	N	7003168	A		1		4003081
1000000		4003317	N	7003163	A	Frazione of Pontassieve, famous for the ceramics factory founded in 1735 by Carlo Ginori.	1		4003317
1000000		4003884	N	7003163	A		1		4003884
1000000		4003903	N	7003163	A		1		4003903
1000000		4003918	N	7009760	A	Refers to the city of Florence and surrounding territory that was briefly ruled as a republic in the late 15th and early 16th centuries. In 1494 Florence declared itself a republic, aided by the French under King Charles VIII and after the death of the powerful ruler Lorenzo de'Medici. Republican Florence was led briefly by the outspoken Dominican preacher, Girolamo Savonarola; his strict rule came to an end in 1498. The republic virtually ended when the Medici returned to Florence in triumph in 1512 behind the papal and Spanish armies, reasserting unambiguous power. Republicans again expelled the Medici from Florence from 1527-1530. In 1537 Charles V officially installed Cosimo I de' Medici as duke of Florence and, in 1569, as grand duke of Tuscany.	1		4003918
1000000		4003976	N	7003163	A		1		4003976
1000000		4004239	N	7003162	A		1		4004239
1000000		4004361	N	1003460	A		1		4004361
1000000		4004422	N	7003163	A		1		4004422
1000000		4004519	N	7003163	A		1		4004519
1000000		4005345	N	7003164	P		1		4005345
1000000		4006085	N	7003165	A		1		4006085
1000000		4006399	N	7003163	A		1		4006399
